name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Jharkhand,2022-10-21,27.2,17,22.4,27.7,17,22.5,16.8,72.3,0,0,0,,0,0,23.4,11.2,358.5,1017.3,20.2,3.5,256.7,22.2,9,10,2022-10-21T05:48:16,2022-10-21T17:18:15,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42701099999,VERC"
Jharkhand,2022-10-22,28.2,18.1,22.9,28.3,18.1,22.9,16.9,71.2,0,0,0,,0,0,27,15.8,354.8,1017.5,0.4,3.9,255.6,22.2,9,10,2022-10-22T05:48:45,2022-10-22T17:17:28,0.96,Clear,Clear conditions throughout the day.,clear-day,"42701099999,VERC"
Jharkhand,2022-10-23,27.1,20,23.4,27.7,20,23.5,16.7,67.4,0,0,0,,0,0,34.2,16.6,353.9,1014.8,41.9,4.1,241.5,21,9,10,2022-10-23T05:49:14,2022-10-23T17:16:41,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42701099999,VERC"
Jharkhand,2022-10-24,27,18.9,22.8,27.5,18.9,22.9,16.2,67.2,0,0,0,,0,0,46.4,20.5,344.1,1009.2,60,4.6,202,17.4,8,10,2022-10-24T05:49:43,2022-10-24T17:15:55,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42701099999,VERC,remote"
Jharkhand,2022-10-25,30.1,19.9,24.1,30.1,19.9,24.1,15.8,61.1,0,0,0,,0,0,36,16.6,304,1011.2,34.3,4.8,250.3,21.5,9,10,2022-10-25T05:50:13,2022-10-25T17:15:11,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42701099999,VERC"
Jharkhand,2022-10-26,29.2,18.2,23.5,28.3,18.2,23.3,14.2,58.9,0,0,0,,0,0,16.2,11.2,280.8,1015.5,14.1,4.5,248.3,21.4,9,10,2022-10-26T05:50:43,2022-10-26T17:14:27,0.01,Clear,Clear conditions throughout the day.,clear-day,"42701099999,VERC"
Jharkhand,2022-10-27,29,17,22.5,28,17,22.4,14.4,63.2,0,0,0,,0,0,10.4,9.4,350.2,1015.6,4.6,5.2,249,21.4,9,10,2022-10-27T05:51:14,2022-10-27T17:13:44,0.03,Clear,Clear conditions throughout the day.,clear-day,"42701099999,VERC"
Jharkhand,2022-10-28,28.2,16,21.2,27.3,16,21,11.5,57.5,0,0,0,,0,0,16.2,9.4,313.3,1015.1,0,4.4,249.3,21.7,9,10,2022-10-28T05:51:45,2022-10-28T17:13:03,0.06,Clear,Clear conditions throughout the day.,clear-day,"42701099999,VERC"
Jharkhand,2022-10-29,27,15,20.5,27,15,20.5,13,64.2,0,0,0,,0,0,12.2,9.4,342.5,1015.1,0,4.5,249.3,21.5,9,10,2022-10-29T05:52:17,2022-10-29T17:12:22,0.1,Clear,Clear conditions throughout the day.,clear-day,"42701099999,VERC"
Jharkhand,2022-10-30,26,16,20.7,26,16,20.7,15.2,72.5,0,0,0,,0,0,15.1,9.4,348.8,1015.3,19.7,4,244.6,21.2,8,10,2022-10-30T05:52:49,2022-10-30T17:11:42,0.15,Clear,Clear conditions throughout the day.,clear-day,"42701099999,VERC"
